,Title,Director,Year,Rating,Votes,Revenue,Producer,Oscar Year,Director oscars
351,The Ugly Truth,Robert Luketic,2009,6.5,172558,88.92,"['Lakeshore Entertainment', 'Relativity Media']",,
352,Insurgent,Robert Schwentke,2015,6.3,171970,130.0,"['Summit Entertainment', 'Mandeville Films', 'Red Wagon Entertainment', 'NeoReel']",,
353,Rocky Balboa,Sylvester Stallone,2006,7.2,171356,70.27,"['Columbia Pictures', 'Revolution Studios', 'Rogue Marble', 'Metro-Goldwyn-Mayer (MGM)']",,
354,Sinister,Scott Derrickson,2012,6.8,171169,48.06,"['Alliance Films', 'Blumhouse Productions', 'IM Global', 'Automatik Entertainment', 'Possessed Pictures']",,
355,The Happening,M. Night Shyamalan,2008,5.0,170897,64.51,[],,
356,Southpaw,Antoine Fuqua,2015,7.4,169083,52.42,"['Escape Artists', 'Riche-Ludwig Productions']",,
357,Pain & Gain,Michael Bay,2013,6.5,168875,49.87,"['Paramount Pictures', 'De Line Pictures']",,
358,Mr. Nobody,Jaco Van Dormael,2009,7.9,166872,,"['Pan Européenne Production', 'Virtual Films']",,
359,After Earth,M. Night Shyamalan,2013,4.9,166512,60.52,"['Columbia Pictures', 'Blinding Edge Pictures', 'Overbrook Entertainment']",,
360,Focus,Glenn Ficarra,2015,6.6,166489,53.85,"['Kramer & Sigman Films', 'RatPac-Dune Entertainment', 'Zaftig Films']",,
361,The Internship,Shawn Levy,2013,6.3,166342,44.67,"['Twentieth Century Fox Film Corporation', 'Regency Enterprises', '21 Laps Entertainment', 'Wild West Picture Show Productions', 'TSG Entertainment']",,
362,Star Trek Beyond,Justin Lin,2016,7.1,164567,158.8,"['Paramount Pictures', 'Bad Robot', 'Perfect Storm Entertainment', 'Alibaba Pictures Group', 'Skydance Media', 'Sneaky Shark', 'Huahua Media']",,
363,Hanna,Joe Wright,2011,6.8,164208,40.25,"['Focus Features', 'Neunte Babelsberg Film', 'Holleran Company', 'Sechzehnte Babelsberg Film']",,
364,Project X,Nima Nourizadeh,2012,6.7,164088,54.72,"['Silver Pictures', 'Green Hat Films']",,
365,You Don't Mess with the Zohan,Dennis Dugan,2008,5.5,163144,100.02,"['Columbia Pictures', 'Happy Madison Productions', 'Sony Pictures Releasing', 'Relativity Media']",,
366,The Accountant,Gavin O'Connor,2016,7.4,162122,86.2,"['Zero Gravity Management', 'Warner Bros.', 'Electric City Entertainment', 'RatPac-Dune Entertainment']",,
367,San Andreas,Brad Peyton,2015,6.1,161396,155.18,"['New Line Cinema', 'Village Roadshow Pictures', 'Warner Bros.', 'Flynn Picture Company']",,
368,Blue Jasmine,Woody Allen,2013,7.3,160592,33.4,['Perdido Productions'],,1
369,Minions,Kyle Balda,2015,6.4,159830,336.03,"['Universal Pictures', 'Illumination Entertainment']",,
370,Revolutionary Road,Sam Mendes,2008,7.3,159736,22.88,"['DreamWorks SKG', 'Scott Rudin Productions', 'BBC Films', 'Neal Street Productions', 'Evamere Entertainment', 'Goldcrest Pictures']",,1
371,The Intern,Nancy Meyers,2015,7.1,159582,75.27,"['Waverly Films', 'Warner Bros.']",,
372,Maze Runner: The Scorch Trials,Wes Ball,2015,6.3,159364,81.69,"['Gotham Group', 'Temple Hill Entertainment', 'TSG Entertainment']",,
373,Wrath of the Titans,Jonathan Liebesman,2012,5.8,159230,83.64,"['Legendary Pictures', 'Thunder Road Pictures', 'Warner Bros.', 'Cott Productions', 'Furia de Titanes II, A.I.E.']",,
374,Split,M. Night Shyamalan,2016,7.3,157606,138.12,"['Universal Pictures', 'Blumhouse Productions', 'Blinding Edge Pictures']",,
375,Unstoppable,Tony Scott,2010,6.8,157499,81.56,"['Twentieth Century Fox Film Corporation', 'Scott Free Productions', 'Firm Films', 'Prospect Park', 'Millbrook Farm Productions']",,
376,Tinker Tailor Soldier Spy,Tomas Alfredson,2011,7.1,157053,24.1,['BBC'],,
377,Finding Dory,Andrew Stanton,2016,7.4,157026,486.29,"['Walt Disney Pictures', 'Pixar Animation Studios', 'Hurwitz Creative']",,
378,Coraline,Henry Selick,2009,7.7,156620,75.28,"['Focus Features', 'Laika Entertainment']",,
379,Now You See Me 2,Jon M. Chu,2016,6.5,156567,65.03,"['Summit Entertainment', 'Lionsgate', 'K/O Paper Products', 'TIK Films']",,
380,Eagle Eye,D.J. Caruso,2008,6.6,156158,101.11,"['DreamWorks SKG', 'K/O Paper Products', 'Goldcrest Pictures', 'KMP Film Invest']",,
381,The Golden Compass,Chris Weitz,2007,6.1,155078,70.08,"['New Line Cinema', 'Ingenious Film Partners', 'Depth of Field', 'Scholastic Productions']",,
382,Shame,Steve McQueen,2011,7.2,155010,4.0,"['Svensk Filmindustri (SF)', 'Cinematograph AB']",,
383,Zack and Miri Make a Porno,Kevin Smith,2008,6.6,154936,31.45,"['Blue Askew', 'View Askew Productions']",,
384,Everest,Baltasar Kormákur,2015,7.1,154647,43.25,"['Universal Pictures', 'Working Title Films', 'Walden Media', 'Cross Creek Pictures', 'Free State Pictures', 'RVK Studios']",,
385,The Purge,James DeMonaco,2013,5.7,154588,64.42,"['Universal Pictures', 'Why Not Productions', 'Platinum Dunes', 'Blumhouse Productions', '20th Century Fox Russia']",,
386,This Means War,McG,2012,6.3,154400,54.76,"['Dune Entertainment', 'Overbrook Films', 'Robert Simonds Productions']",,
387,Mamma Mia!,Phyllida Lloyd,2008,6.4,153481,143.7,"['Universal Pictures', 'Internationale Filmproduktion Richter', 'Playtone', 'Relativity Media', 'Littlestar']",,
388,Orphan,Jaume Collet-Serra,2009,7.0,153448,41.57,"['Dark Castle Entertainment', 'Studio Babelsberg StudioBabelsberg Motion Pictures', 'Don Carmody Productions', 'Studio Canal']",,
389,17 Again,Burr Steers,2009,6.4,152808,64.15,"['New Line Cinema', 'Offspring Entertainment']",,
390,G.I. Joe: Retaliation,Jon M. Chu,2013,5.8,152145,122.51,"['Paramount Pictures', 'Di Bonaventura Pictures', 'Hasbro', 'Skydance Productions', 'Metro-Goldwyn-Mayer (MGM)', 'Saints LA']",,
391,Chef,Jon Favreau,2014,7.3,151970,31.24,"['Prescience', 'Fairview Entertainment', 'Altus Media']",,
392,Love & Other Drugs,Edward Zwick,2010,6.7,151519,32.36,"['Bedford Falls Productions', 'Dune Entertainment', 'Regency Enterprises', 'Fox 2000 Pictures', 'Stuber Productions', 'New Regency Pictures']",,
393,Blue Valentine,Derek Cianfrance,2010,7.4,151409,9.7,"['Hunting Lane Films', 'Silverwood Films', 'Incentive Filmed Entertainment', 'Chrysler Corporation', 'Shade Pictures', 'Motel Movies', 'Cottage Industries']",,
394,Jason Bourne,Paul Greengrass,2016,6.7,150823,162.16,"['The Kennedy/Marshall Company', 'Captivate Entertainment', 'Pearl Street Films', 'Double Negative', 'Perfect World (Beijing) Pictures Co.']",,
395,Enchanted,Kevin Lima,2007,7.1,150353,127.71,"['Walt Disney Pictures', 'Josephson Entertainment', 'Andalasia Productions', 'Right Coast Productions']",,
396,Jupiter Ascending,Lana Wachowski,2015,5.3,150121,47.38,"['Village Roadshow Pictures', 'Dune Entertainment', 'Anarchos Productions', 'Warner Bros.']",,
397,The Promise,Terry George,2016,5.9,149791,,"['Babieka', 'Wonderful Films', 'Survivor Pictures']",,
398,Fantastic Mr. Fox,Wes Anderson,2009,7.8,149779,21.0,"['Twentieth Century Fox Film Corporation', 'Regency Enterprises', 'Indian Paintbrush', 'American Empirical Pictures']",,
399,Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,2010,5.9,148949,88.76,"['Ingenious Film Partners', '1492 Pictures', 'Dune Entertainment', 'Fox 2000 Pictures', 'Sunswept Entertainment', 'Dune Entertainment III', 'Big Screen Productions', 'TCF Vancouver Productions']",,
400,Fracture,Gregory Hoblit,2007,7.2,148943,39.0,"['New Line Cinema', 'Castle Rock Entertainment', 'Weinstock Productions', 'M7 Filmproduktion']",,
401,Dracula Untold,Gary Shore,2014,6.3,148504,55.94,"['Universal Pictures', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu', 'Michael De Luca Productions']",,
402,Ghostbusters,Paul Feig,2016,5.3,147717,128.34,"['Columbia Pictures Corporation', 'Delphi Films', 'Black Rhino Productions']",,
403,The Judge,David Dobkin,2014,7.4,146812,47.11,"['Village Roadshow Pictures', 'Warner Bros.', 'Big Kid Pictures', 'Team Downey']",,
404,Beowulf,Robert Zemeckis,2007,6.2,146566,82.16,"['Paramount Pictures', 'Shangri-La Entertainment', 'ImageMovers', 'Paramount Animation']",,1
405,A Million Ways to Die in the West,Seth MacFarlane,2014,6.1,144779,42.62,"['Media Rights Capital', 'Fuzzy Door Productions', 'Bluegrass Films', 'RGB Media']",,
406,Taken 3,Olivier Megaton,2014,6.0,144715,89.25,"['Twentieth Century Fox Film Corporation', 'M6 Films', 'Canal+', 'Grive Productions', 'EuropaCorp', 'Ciné+', 'M6', 'TSG Entertainment', 'Taken 3']",,
407,The Boy in the Striped Pyjamas,Mark Herman,2008,7.8,144614,9.03,"['Miramax Films', 'BBC Films', 'Heyday Films']",,
408,The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,2007,7.5,143564,3.9,"['Plan B Entertainment', 'Virtual Studios', 'Scott Free Productions', 'Alberta Film Entertainment', 'Warner Bros.', 'Jesse Films Inc.']",,
409,The Tree of Life,Terrence Malick,2011,6.8,143517,13.3,"['Fox Searchlight Pictures', 'Plan B Entertainment', 'River Road Entertainment']",,
410,Need for Speed,Scott Waugh,2014,6.5,143389,43.57,"['DreamWorks SKG', 'Reliance Entertainment', 'Bandito Brothers', 'Touchstone Pictures', 'Electronic Arts', 'Revolution Sun Studios']",,
411,Tomorrowland,Brad Bird,2015,6.5,143069,93.42,"['Walt Disney Pictures', 'Babieka', 'A113']",,
412,Immortals,Tarsem Singh,2011,6.0,142900,83.5,"['Virgin Produced', 'Mark Canton Productions']",,
413,Mama,Andrés Muschietti,2013,6.2,142560,71.59,"['Universal Pictures', 'Toma 78', 'De Milo']",,
414,Happy Feet,George Miller,2006,6.5,141141,197.99,"['Kennedy Miller Productions', 'Animal Logic']",,
415,Resident Evil: Afterlife,Paul W.S. Anderson,2010,5.9,140900,60.13,"['Impact Pictures', 'Davis-Films', 'Constantin Film Produktion']",,
416,The Heat,Paul Feig,2013,6.6,140151,159.58,"['Ingenious Film Partners', 'Ingenious Media', 'Twentieth Century Fox Film Corporation', 'Chernin Entertainment', 'Big Screen Productions', 'TSG Entertainment']",,
417,Straight Outta Compton,F. Gary Gray,2015,7.9,139831,161.03,"['New Line Cinema', 'Universal Pictures', 'Legendary Pictures', 'Cube Vision', 'Broken Chair Flickz', 'Crucial Films']",,
418,The Ghost Writer,Roman Polanski,2010,7.2,137964,15.52,"['Studio Babelsberg', 'Runteam Ltd.', 'R.P. Productions', 'France 2 Cinéma']",,1
419,He's Just Not That Into You,Ken Kwapis,2009,6.4,137684,,"['New Line Cinema', 'Flower Films (II)', 'Internationale Filmproduktion Blackswan']",,
420,Sully,Clint Eastwood,2016,7.5,137608,125.07,"['Malpaso Productions', 'Warner Bros.', 'Kennedy/Marshall Company, The', 'FilmNation Entertainment', 'RatPac Entertainment', 'Flashlight Films']",,2
421,The Expendables 3,Patrick Hughes,2014,6.1,137568,39.29,"['Davis-Films', 'Nu Image Films', 'LionsGate', 'Millennium Films', 'Ex3 Productions', 'Fipex Holding']",,
422,Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,2006,6.6,137502,148.21,"['Columbia Pictures', 'Apatow Productions']",,
423,Exodus: Gods and Kings,Ridley Scott,2014,6.0,137299,65.01,"['Scott Free Productions', 'Chernin Entertainment', 'Babieka', 'Volcano Films']",,
424,The Conjuring 2,James Wan,2016,7.4,137203,102.46,"['New Line Cinema', 'Dune Entertainment', 'The Safran Company', 'Evergreen Media Group', 'warner bross Turkey', 'Soho VFX', 'Atomic Monster']",,
425,Melancholia,Lars von Trier,2011,7.1,137117,3.03,,,
426,The Hills Have Eyes,Alexandre Aja,2006,6.4,136642,41.78,"['Fox Searchlight Pictures', 'Dune Entertainment', 'Major Studio Partners', 'Craven-Maddalena Films']",,
427,It Follows,David Robert Mitchell,2014,6.9,136399,14.67,"['Northern Lights Films', 'Animal Kingdom', 'Two Flints']",,
428,Ted 2,Seth MacFarlane,2015,6.3,136323,81.26,"['Universal Pictures', 'Fuzzy Door Productions', 'Bluegrass Films', 'Smart Entertainment', 'Media Rights Capital (MRC)']",,
429,Black Mass,Scott Cooper,2015,6.9,135706,62.56,"['Infinitum Nihil', 'Head Gear Films', 'Cross Creek Pictures', 'Free State Pictures', 'RatPac-Dune Entertainment', 'Le Grisbi Productions', 'Vendian Entertainment']",,
430,Moonlight,Barry Jenkins,2016,7.5,135095,27.85,"['Plan B Entertainment', 'Upload Films', 'A24', 'Pastel']",2017,
431,Manchester by the Sea,Kenneth Lonergan,2016,7.9,134213,47.7,"['Big Indie Pictures', 'Amazon Studios', 'Pearl Street Films', 'CMP Entertainment', 'K Period Media', 'B Story', 'The Affleck/Middleton Project']",,
432,Evil Dead,Fede Alvarez,2013,6.5,133113,54.24,"['TriStar Pictures', 'Ghost House Pictures', 'FilmDistrict']",,
433,The Babadook,Jennifer Kent,2014,6.8,132580,0.92,"['South Australian Film Corporation', 'Screen Australia', 'Smoking Gun Productions', 'Causeway Films']",,
434,Riddick,David Twohy,2013,6.4,132098,42.0,"['One Race Productions', 'Radar Pictures', 'Riddick Canada Productions']",,
435,The Lovely Bones,Peter Jackson,2009,6.7,130702,43.98,"['WingNut Films', 'DreamWorks SKG', 'Key Creatives', 'Film4', 'Goldcrest Pictures', 'New Zealand Large Budget Screen Production Grant']",,1
436,The Imaginarium of Doctor Parnassus,Terry Gilliam,2009,6.8,130153,7.69,"['Infinity Features Entertainment', 'Davis-Films', 'Téléfilm Canada', 'The Movie Network', 'Canadian Film or Video Production Tax Credit (CPTC)', 'British Columbia Film', 'Province of British Columbia Film Incentive BC', 'Movie Central', 'Grosvenor Park Productions', 'Poo Poo Pictures', 'Parnassus Productions', 'U.K. Tax Credit']",,
437,Underworld: Rise of the Lycans,Patrick Tatopoulos,2009,6.6,129708,45.8,"['Lakeshore Entertainment', 'Screen Gems', 'Sketch Films', 'UW3 Film Productions']",,
438,Man on a Ledge,Asger Leth,2012,6.6,129252,18.6,"['Summit Entertainment', 'Di Bonaventura Picture']",,
439,Mr. Brooks,Bruce A. Evans,2007,7.3,128146,28.48,"['Tig Productions', 'Eden Rock Media', 'Element Films', 'Relativity Media']",,
440,The Karate Kid,Harald Zwart,2010,6.2,127983,176.59,"['Columbia Pictures Corporation', 'Jerry Weintraub Productions', 'Delphi Films']",,
441,Independence Day: Resurgence,Roland Emmerich,2016,5.3,127553,103.14,"['Twentieth Century Fox Film Corporation', 'Centropolis Entertainment', 'TSG Entertainment', 'Stereo D']",,
442,Pandorum,Christian Alvart,2009,6.8,126656,10.33,"['Impact Pictures', 'Constantin Film Produktion']",,
443,Nocturnal Animals,Tom Ford,2016,7.5,126030,10.64,"['Universal Pictures', 'Artina Films', 'Fade to Black Productions', 'Focus Features']",,
444,Saving Mr. Banks,John Lee Hancock,2013,7.5,125693,83.3,"['Walt Disney Pictures', 'BBC Films', 'Ruby Films', 'Essential Media & Entertainment', 'Hopscotch Features']",,
445,Horrible Bosses 2,Sean Anders,2014,6.3,125190,54.41,"['New Line Cinema', 'BenderSpink', 'RatPac Entertainment']",,
446,The Last Airbender,M. Night Shyamalan,2010,4.2,125129,,"['Paramount Pictures', 'Nickelodeon Movies', 'Kennedy/Marshall Company, The', 'Industrial Light & Magic (ILM)', 'Blinding Edge Pictures']",,
447,The Mummy: Tomb of the Dragon Emperor,Rob Cohen,2008,5.2,124554,102.18,"['Universal Pictures', 'China Film Co-Production Corporation', 'Relativity Media', 'Alphaville Films', 'Sommers Company, The']",,
448,She's the Man,Andy Fickman,2006,6.4,122864,2.34,"['DreamWorks SKG', 'Lakeshore Entertainment']",,
449,The Magnificent Seven,Antoine Fuqua,2016,6.9,122853,93.38,"['The Mirisch Corporation', 'Alpha Productions']",,
450,Hercules,Brett Ratner,2014,6.0,122838,72.66,['Walt Disney Pictures'],,
451,Sin City: A Dame to Kill For,Frank Miller,2014,6.5,122185,13.75,"['Miramax Films', 'Troublemaker Studios', 'AR Films', 'Aldamisa Entertainment', 'Demarest Films', 'Solipsist Film', 'Residaco']",,
452,Fantastic Four,Josh Trank,2015,4.3,121847,56.11,"['Twentieth Century Fox Film Corporation', '1492 Pictures', 'Constantin Film Produktion', 'Marvel Enterprises', 'Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 3 KG']",,
453,The Lobster,Yorgos Lanthimos,2015,7.1,121313,8.7,,,
454,Don't Breathe,Fede Alvarez,2016,7.2,121103,89.21,"['Ghost House Pictures', 'Sony Pictures Releasing', 'Screen Gems', 'Stage 6 Films', 'Good Universe', 'Blind Man Productions']",,
455,Sausage Party,Greg Tiernan,2016,6.3,120690,97.66,"['Columbia Pictures', 'Sony Pictures Animation', 'Sony Pictures Entertainment', 'Annapurna Pictures', 'Point Grey Pictures', 'Nitrogen Studios Canada']",,
456,The Secret Life of Pets,Chris Renaud,2016,6.6,120259,368.31,"['Universal Pictures', 'Fuji Television Network', 'Dentsu', 'Illumination Entertainment']",,
457,Remember Me,Allen Coulter,2010,7.2,119376,19.06,['Summit Entertainment'],,
458,Snakes on a Plane,David R. Ellis,2006,5.6,118905,34.01,['New Line Cinema'],,
459,Moana,Ron Clements,2016,7.7,118151,248.75,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",,
460,The Legend of Tarzan,David Yates,2016,6.3,117590,126.59,"['Village Roadshow Pictures', 'Dark Horse Entertainment', 'Jerry Weintraub Productions', 'RatPac-Dune Entertainment', 'Beagle Pug Films', 'Riche Productions', 'Village Roadshow Films North America']",,
461,Bridge to Terabithia,Gabor Csupo,2007,7.2,117297,82.23,"['Walden Media', 'Hal Lieberman Company', 'Lauren Levine Productions Inc.']",,
462,Cinderella,Kenneth Branagh,2015,7.0,117018,201.15,"['RKO Radio Pictures', 'Walt Disney Productions']",,
463,Winter's Bone,Debra Granik,2010,7.2,116435,,,,
464,The Drop,Michaël R. Roskam,2014,7.1,116118,10.72,"['Fox Searchlight Pictures', 'Chernin Entertainment']",,
465,Steve Jobs,Danny Boyle,2015,7.2,116112,17.75,"['Universal Pictures', 'Scott Rudin Productions', 'Legendary Pictures', 'The Mark Gordon Company', 'Management 360', 'Cloud Eight Films']",,1
466,The Spectacular Now,James Ponsoldt,2013,7.1,115751,6.85,"['21 Laps Entertainment', 'Andrew Lauren Productions (ALP)', 'Global Produce', 'A24']",,
467,Hell or High Water,David Mackenzie,2016,7.7,115546,26.86,"['Sidney Kimmel Entertainment', 'Film 44', 'OddLot Entertainment']",,
468,Idiocracy,Mike Judge,2006,6.6,115355,0.44,"['Twentieth Century Fox Film Corporation', 'Ternion Pictures']",,
469,Grown Ups 2,Dennis Dugan,2013,5.4,114482,133.67,"['Columbia Pictures', 'Happy Madison Productions', 'Sony Pictures Entertainment (SPE)']",,
470,Spring Breakers,Harmony Korine,2012,5.3,114290,14.12,,,
471,Resident Evil: Retribution,Paul W.S. Anderson,2012,5.4,114144,42.35,['Davis-Films'],,
472,Unbroken,Angelina Jolie,2014,7.2,114006,115.6,"['Legendary Pictures', '3 Arts Entertainment', 'Jolie Pas']",,
473,Magic Mike,Steven Soderbergh,2012,6.1,113686,113.71,"['Extension 765', 'Iron Horse Entertainment (II)']",,1
474,One Day,Lone Scherfig,2011,7.0,113599,13.77,"['Film 4', 'Color Force']",,
475,Me Before You,Thea Sharrock,2016,7.4,113322,56.23,"['New Line Cinema', 'Sunswept Entertainment', 'Metro-Goldwyn-Mayer (MGM)']",,
476,Carrie,Kimberly Peirce,2013,5.9,113272,35.27,['United Artists'],,
477,The Master,Paul Thomas Anderson,2012,7.1,112902,16.38,"['Ghoulardi Film Company', 'The Weinstein Company', 'Annapurna Pictures']",,
478,Assassin's Creed,Justin Kurzel,2016,5.9,112813,54.65,"['Regency Enterprises', 'The Kennedy/Marshall Company', 'Ubisoft', 'CatchPlay', 'New Regency Pictures', 'Latina Pictures', 'RatPac Entertainment', 'Monarchy Enterprises S.a.r.l.', 'Ubisoft Motion Pictures', 'DMC Film', 'Alpha Pictures']",,
479,Let's Be Cops,Luke Greenfield,2014,6.5,112729,82.39,"['Twentieth Century Fox Film Corporation', 'WideAwake', 'Genre Films']",,
480,The Mortal Instruments: City of Bones,Harald Zwart,2013,5.9,112313,31.17,"['Constantin Film Produktion', 'Don Carmody Productions', 'Unique Features', 'Mr. Smith Productions']",,
481,The Age of Adaline,Lee Toland Krieger,2015,7.2,112288,42.48,"['Lakeshore Entertainment', 'Sidney Kimmel Entertainment', 'Sierra/Affinity']",,
482,Begin Again,John Carney,2013,7.4,111875,16.17,"['Likely Story', 'Apatow Productions', 'Exclusive Media Group', 'Sycamore Pictures']",,
483,Enemy,Denis Villeneuve,2013,6.9,111558,1.01,"['Rhombus Media', 'Roxbury Pictures', 'micro_scope', 'Mecanismo Films', 'A24']",,
484,The Other Woman,Nick Cassavetes,2014,6.0,110825,83.91,"['Twentieth Century Fox Film Corporation', 'LBI Productions']",,
485,The Danish Girl,Tom Hooper,2015,7.0,110773,12.71,"['Pretty Pictures', 'Working Title Films', 'Artémis Productions', 'Le Tax Shelter du Gouvernement Fédéral de Belgique', 'Taxshelter. be', 'Shelter Productions', 'Senator Global Productions', 'Kvinde Films', 'ReVision Pictures', 'Copenhagen Film Fund']",,1
486,Cars 2,John Lasseter,2011,6.2,110490,191.45,"['Walt Disney Pictures', 'Pixar Animation Studios']",,
487,Into the Woods,Rob Marshall,2014,6.0,109756,128.0,[],,
488,Legend,Brian Helgeland,2015,7.0,108836,1.87,"['Working Title Films', 'Cross Creek Pictures', 'Anton Capital Entertainment (ACE)']",,
489,The Skin I Live In,Pedro Almodóvar,2011,7.6,108772,3.19,"['El Deseo', 'Televisión Española TVE', 'FilmNation Entertainment', 'Canal+ España', 'Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA)', 'Instituto de Crédito Oficial (ICO)', 'Blue Haze Entertainment']",,
490,Scream 4,Wes Craven,2011,6.2,108544,38.18,['Dimension Films'],,
491,Pitch Perfect 2,Elizabeth Banks,2015,6.5,108306,183.44,"['Universal Pictures', 'Gold Circle Films', 'Brownstone Productions']",,
492,This Is 40,Judd Apatow,2012,6.2,108156,67.52,['Apatow Productions'],,
493,Savages,Oliver Stone,2012,6.5,107960,47.31,"['Ixtlan', 'Relativity Media', 'Onda Entertainment']",,2
494,War Dogs,Todd Phillips,2016,7.1,106463,43.02,"['The Mark Gordon Company', 'Green Hat Films', 'Warner Bros.', 'Joint Effort']",,
495,The Break-Up,Peyton Reed,2006,5.8,106381,118.68,"['Universal Pictures', 'Mosaic Media Group', 'Wild West Picture Show Productions']",,
496,Trainwreck,Judd Apatow,2015,6.3,106364,110.01,"['Universal Pictures', 'Fuji Television Network', 'Dentsu', 'Apatow Productions']",,
497,Australia,Baz Luhrmann,2008,6.6,106115,49.55,"['Bazmark Films', 'Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment III', 'ScreenWest']",,
498,She's Out of My League,Jim Field Smith,2010,6.4,105619,31.58,"['DreamWorks SKG', 'Mosaic']",,
499,Captain Fantastic,Matt Ross,2016,7.9,105081,5.88,"['Electric City Entertainment', 'ShivHans Pictures', 'Post Haste Digital']",,
500,We Need to Talk About Kevin,Lynne Ramsay,2011,7.5,104953,1.74,"['BBC Films', 'Oscilloscope Laboratories']",,
501,Jack Ryan: Shadow Recruit,Kenneth Branagh,2014,6.2,103681,50.55,"['Paramount Pictures', 'Di Bonaventura Pictures', 'Mace Neufeld Productions', 'Skydance Productions', 'Etalon film', 'Buckaroo Entertainment']",,
502,PK,Rajkumar Hirani,2014,8.2,103279,10.57,"['Rajkumar Hirani Films', 'Vinod Chopra Films']",,
503,Hairspray,Adam Shankman,2007,6.7,102954,118.82,['New Line Cinema'],,
504,Taare Zameen Par,Aamir Khan,2007,8.5,102697,1.2,"['Aamir Khan Productions', 'UTV Motion Pictures', 'Walt Disney Studios Home Entertainment', 'PVR Cinemas']",,
505,Sex and the City,Michael Patrick King,2008,5.5,102547,152.64,"['New Line Cinema', 'Darren Star Productions', 'Home Box Office (HBO)']",,
506,The Girl on the Train,Tate Taylor,2016,6.5,102177,75.31,"['DreamWorks', 'Marc Platt Productions', 'Reliance Entertainment', 'Amblin Partners']",,
507,Lion,Garth Davis,2016,8.1,102061,51.69,"['The Weinstein Company', 'See-Saw Films', 'Screen Australia', 'Aquarius Films', 'Sunstar Entertainment']",,
508,Pixels,Chris Columbus,2015,5.6,101092,78.75,[],,
509,Miss Peregrine's Home for Peculiar Children,Tim Burton,2016,6.7,101058,87.24,"['Ingenious Media', 'Twentieth Century Fox Film Corporation', 'Chernin Entertainment', 'Tim Burton Productions', 'Big Screen Productions', 'Scope Pictures', 'TSG Entertainment', 'St. Petersburg Clearwater Film Commission']",,
510,Locke,Steven Knight,2013,7.1,100890,1.36,"['IM Global', 'Shoebox Films', 'A24']",,
511,London Has Fallen,Babak Najafi,2016,5.9,100702,62.4,"['Millennium Films', 'LHF Film', 'Gerard Butler Alan Siegel Entertainment', 'Nu Boyana Film Studios']",,
512,Joy,David O. Russell,2015,6.6,97679,56.44,"['Fox 2000 Pictures', 'Davis Entertainment', 'Annapurna Pictures', 'TSG Entertainment']",,
513,Inferno,Ron Howard,2016,6.2,97623,34.26,['Produzioni Intersound'],,1
514,Crimson Peak,Guillermo del Toro,2015,6.6,97454,31.06,['Legendary Pictures'],,1
515,Trance,Danny Boyle,2013,7.0,97141,2.32,['Barbara Moorse Workshop'],,1
516,Let Me In,Matt Reeves,2010,7.2,97141,12.13,"['Hammer Film Productions', 'EFTI', 'Exclusive Media Group', 'Overture Films']",,
517,Central Intelligence,Rawson Marshall Thurber,2016,6.3,97082,127.38,"['New Line Cinema', 'Universal Pictures', 'Bluegrass Films', 'Principato-Young Entertainment']",,
518,The Host,Andrew Niccol,2013,5.9,96852,26.62,"['Cineclick Asia', 'Happinet Pictures', 'Cheongeoram', 'CJ Capital Investment']",,
519,The Host,Bong Joon Ho,2006,7.0,73491,2.2,"['Cineclick Asia', 'Happinet Pictures', 'Cheongeoram', 'CJ Capital Investment']",,
520,The Strangers,Bryan Bertino,2008,6.2,96718,52.53,"['Rogue Pictures', 'Vertigo Entertainment', 'Intrepid Pictures']",,
521,The Gift,Joel Edgerton,2015,7.1,96688,43.77,"['Blumhouse Productions', 'Blue-Tongue Films', 'Huayi Brothers Media', 'STX Entertainment', 'Ahimsa Films']",,
522,Jennifer's Body,Karyn Kusama,2009,5.1,96617,16.2,"['Dune Entertainment', 'Fox Atomic']",,
523,Step Up,Anne Fletcher,2006,6.5,95960,65.27,"['Summit Entertainment', 'Offspring Entertainment', 'Touchstone Pictures', 'Eketahuna LLC']",,
524,Wild,Jean-Marc Vallée,2014,7.1,95553,37.88,"['Fox Searchlight Pictures', 'Pacific Standard', 'bob industries']",,
525,The Princess and the Frog,Ron Clements,2009,7.1,95480,104.37,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",,
526,Across the Universe,Julie Taymor,2007,7.4,95172,24.34,"['Revolution Studios', 'Team Todd']",,
527,Get Hard,Etan Cohen,2015,6.0,95119,90.35,"['Gary Sanchez Productions', 'Warner Bros.']",,
528,Brooklyn,John Crowley,2015,7.5,94977,38.32,"['Wildgaze Films', 'Irish Film Board', 'Item 7', 'Parallel Film Productions']",,
529,Under the Skin,Jonathan Glazer,2013,6.3,94707,2.61,"['British Film Institute (BFI)', 'Rouge Films', 'Strange Dog Productions', 'Merseyside Film Production Fund']",,
