,Title,Director,Year,Rating,Votes,Revenue,Producer,Oscar Year,Director oscars
130,Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,2008,6.2,351361,317.01,"['Lucasfilm', 'Paramount Pictures']",,2
131,Harry Potter and the Half-Blood Prince,David Yates,2009,7.5,351059,301.96,"['Warner Bros.', 'Heyday Films']",,
132,The Girl with the Dragon Tattoo,David Fincher,2011,7.8,348551,102.52,"['Det Danske Filminstitut', 'Nordisk Film', 'Sveriges Television (SVT)', 'Zweites Deutsches Fernsehen (ZDF)', 'Nordisk Film & TV Fond', 'Yellow Bird Films', 'Film i Väst', 'Svenska Filminstitutet (SFI)', 'Filmpool Stockholm Mälardalen', 'Spiltan Underhållning']",,
133,Quantum of Solace,Marc Forster,2008,6.6,347798,168.37,['Eon Productions'],,
134,Live Free or Die Hard,Len Wiseman,2007,7.2,347567,134.52,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Cheyenne Enterprises', 'Wintergreen Productions']",,
135,Captain Phillips,Paul Greengrass,2013,7.8,346154,107.1,['Columbia Pictures'],,
136,The Help,Tate Taylor,2011,8.1,342429,169.71,"['DreamWorks SKG', '1492 Pictures', 'Participant Productions', 'Imagenation Abu Dhabi FZ', 'Reliance Entertainment', 'Touchstone Pictures']",,
137,The Incredible Hulk,Louis Leterrier,2008,6.8,342355,134.52,"['Universal Pictures', 'Marvel Studios', 'Valhalla Motion Pictures', 'MVL Incredible Productions']",,
138,The Amazing Spider-Man 2,Marc Webb,2014,6.7,342183,202.85,"['Columbia Pictures', 'Marvel Enterprises', 'Avi Arad Productions', 'Matt Tolmach Productions']",,
139,The Hateful Eight,Quentin Tarantino,2015,7.8,341170,54.12,"['Double Feature Films', 'The Weinstein Company', 'FilmColony']",,
140,Arrival,Denis Villeneuve,2016,8.0,340798,100.5,"['Paramount Pictures', '21 Laps Entertainment', 'FilmNation Entertainment', 'Lava Bear Films']",,
141,Ex Machina,Alex Garland,2014,7.7,339797,25.44,"['DNA Films', 'Universal Pictures International (UPI)', 'Film4', 'A24']",,
142,Rush,Ron Howard,2013,8.1,339722,26.9,"['Revolution Films', 'Working Title Films', 'Cross Creek Pictures', 'Exclusive Media Group', 'Double Negative']",,1
143,Transformers: Dark of the Moon,Michael Bay,2011,6.3,338369,352.36,"['Paramount Pictures', 'Di Bonaventura Pictures', 'Indochina Productions', 'Hasbro Studios']",,
144,The Da Vinci Code,Ron Howard,2006,6.6,338280,217.54,"['Columbia Pictures', 'Imagine Entertainment', 'Skylark Productions', 'Government of Malta']",,1
145,American Gangster,Ridley Scott,2007,7.8,337835,130.13,"['Imagine Entertainment', 'Universal Pictures', 'Scott Free Productions', 'Relativity Media', 'Film Rites']",,
146,Dawn of the Planet of the Apes,Matt Reeves,2014,7.6,337777,208.54,"['Ingenious Media', 'Chernin Entertainment', 'TSG Entertainment']",,
147,Transformers: Revenge of the Fallen,Michael Bay,2009,6.0,335757,402.08,"['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'Hasbro Studios', 'Revolution Sun Studios']",,
148,The Maze Runner,Wes Ball,2014,6.8,335531,102.41,"['Ingenious Media', 'Twentieth Century Fox Film Corporation', 'Gotham Group', 'Dayday Films', 'Temple Hill Entertainment', 'TSG Entertainment']",,
149,We're the Millers,Rawson Marshall Thurber,2013,7.0,334867,150.37,"['New Line Cinema', 'BenderSpink', 'Heyday Films', 'Newman/Tooley Films', 'Vincent Newman Entertainment', 'Slap Happy Productions (II)']",,
150,Nightcrawler,Dan Gilroy,2014,7.9,332476,32.28,"['Bold Films', 'Sierra / Affinity']",,
151,Fury,David Ayer,2014,7.6,332234,85.71,['Metro-Goldwyn-Mayer (MGM)'],,
152,The Hunger Games: Mockingjay - Part 1,Francis Lawrence,2014,6.7,331902,337.1,"['Lionsgate', 'Color Force']",,
153,The Conjuring,James Wan,2013,7.5,330305,137.39,"['New Line Cinema', 'The Safran Company', 'Evergreen Media Group']",,
154,Kung Fu Panda,Mark Osborne,2008,7.6,329788,215.4,['DreamWorks Animation'],,
155,Zodiac,David Fincher,2007,7.7,329683,33.05,"['Paramount Pictures', 'Warner Bros.', 'Phoenix Pictures']",,
156,This Is the End,Evan Goldberg,2013,6.6,327838,101.47,"['Columbia Pictures', 'Mandate Pictures', 'Sony Pictures Entertainment (SPE)', 'Point Grey Pictures']",,
157,Alice in Wonderland,Tim Burton,2010,6.5,324898,334.19,['Kievnauchfilm'],,
158,In Bruges,Martin McDonagh,2008,7.9,322536,7.76,"['Blueprint Pictures', 'Scion Films', 'Film4', 'Focus Features', 'Twins Financing']",,
159,John Wick,Chad Stahelski,2014,7.2,321933,43.0,"['Summit Entertainment', 'Warner Bros.', '87Eleven', 'DefyNite Films', 'MJW Films']",,
160,Tropic Thunder,Ben Stiller,2008,7.0,321442,110.42,"['DreamWorks SKG', 'Goldcrest Pictures', 'Red Hour Films', 'Internationale Filmproduktion Stella-del-Sud Second']",,
161,Midnight in Paris,Woody Allen,2011,7.7,320323,56.82,"['Gravier Productions', 'Televisió de Catalunya (TV3)', 'Versátil Cinema', 'Mediapro', 'Pontchartrain Productions']",,1
162,In Time,Andrew Niccol,2011,6.7,319025,37.55,"['Regency Enterprises', 'Strike Entertainment', 'New Regency Pictures']",,
163,Godzilla,Gareth Edwards,2014,6.4,318058,200.66,['Toho Film (Eiga) Co. Ltd.'],,
164,Tangled,Nathan Greno,2010,7.8,316459,200.81,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",,
165,Cloverfield,Matt Reeves,2008,7.0,313803,80.03,"['Paramount Pictures', 'Bad Robot']",,
166,Wanted,Timur Bekmambetov,2008,6.7,312495,134.57,['Documento Film'],,
167,The Illusionist,Neil Burger,2006,7.6,309934,39.83,"['Sony Pictures Classics', 'Django Film', 'Pathé Films', 'Canal+', 'CinéCinéma']",,
168,Knocked Up,Judd Apatow,2007,7.0,309398,148.73,"['Universal Pictures', 'Apatow Productions']",,
169,Big Hero 6,Don Hall,2014,7.8,309186,222.49,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",,
170,Spectre,Sam Mendes,2015,6.8,308981,200.07,"['Columbia Pictures', 'Danjaq', 'B24']",,1
171,Despicable Me 2,Pierre Coffin,2013,7.4,304837,368.05,"['Universal Pictures', 'Illumination Entertainment']",,
172,The Devil Wears Prada,David Frankel,2006,6.8,302268,124.73,"['Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Major Studio Partners', 'Peninsula Films', 'Fox 2000 Pictures']",,
173,Fast Five,Justin Lin,2011,7.3,300803,209.81,"['Universal Pictures', 'Original Film', 'One Race Productions']",,
174,The Theory of Everything,James Marsh,2014,7.7,299718,35.89,['Working Title Films'],,
175,Super 8,J.J. Abrams,2011,7.1,298913,126.98,"['Paramount Pictures', 'Amblin Entertainment', 'Bad Robot', 'K/O Camera Toys']",,
